辽东-0.69086 0.12660-上谷-0.50707 0.15865-燕门-0.37794 0.22115-方城-0.52283 0.26466-
阳城-0.51445 0.28368-
太原-0.40913 0.33756-
晋阳-0.45946 0.33281-
饶安-0.56384 0.31854-
临淄-0.58527 0.33439-
平阳-0.52190 0.35816-
聊城-0.53122 0.38193-
繁阳-0.50698 0.40729-
平陆-0.52563 0.40887-
邺城-0.49487 0.41838-
首垣-0.52936 0.42314-
高都-0.45573 0.43582-
朝歌-0.48649 0.43423-
汲-0.47996 0.44374-
陶郡-0.54054 0.43899-
卷-0.47437 0.45008-
上党-0.44455 0.45324-
河东-0.38956 0.45483-
伊阙-0.43616 0.47385-
南阳-0.45107 0.51189-
汝南-0.46318 0.52297-
蕲-0.58807 0.48019-
成皋-0.45946 0.46751-
巴蜀-0.24511 0.55943-
湔氐道-0.15843 0.58637-
